net,length_um
low_sum\[11\],2.131µm
xp5_s2l2\[0\].u_xp5/_01_,2.125µm
ll1_flat\[14\],2.121µm
ps_flat\[51\],2.106µm
hi_flat\[21\],2.1µm
xp7_lo_l2\[0\].u_xp7/_005_,2.096µm
ps_flat\[78\],2.084µm
ll1_flat\[17\],2.069µm
u_xp17x7_carry/_026_,2.068µm
ll1_flat\[20\],2.066µm
_017_,2.065µm
u_xp9_hi_l3/_090_,2.065µm
xp4_lo_l1\[1\].u_xp4/_04_,2.059µm
xp3_hi_l1\[1\].u_xp3/sum_bit\[0\].grid_and,2.051µm
xp7_lo_l2\[1\].u_xp7/_016_,2.048µm
high_sum\[8\],2.044µm
low_sum\[19\],2.044µm
xp5_s2l2\[4\].u_xp5/_01_,2.033µm
hl1_flat\[9\],2.028µm
ps_flat\[68\],2.024µm
u_xp9_hi_l3/_046_,2.023µm
u_xp9_hi_l3/_065_,2.023µm
xp4_lo_l1\[0\].u_xp4/_04_,2.023µm
lo_flat\[23\],2.011µm
u_xp17x7_carry/_059_,2.009µm
hl1_flat\[5\],1.984µm
xp7_lo_l2\[0\].u_xp7/_000_,1.976µm
hi_flat\[10\],1.963µm
upper\[19\],1.939µm
cell_oh_flat\[3\],1.936µm
xp5_s2l2\[3\].u_xp5/_01_,1.936µm
ll1_flat\[3\],1.932µm
ps_flat\[64\],1.932µm
hi_flat\[5\],1.927µm
ll1_flat\[7\],1.925µm
xp5_hi_l2\[1\].u_xp5/_01_,1.915µm
xp5_s2l2\[7\].u_xp5/_01_,1.897µm
ps_flat\[48\],1.883µm
hi_flat\[9\],1.882µm
xp7_lo_l2\[0\].u_xp7/_016_,1.881µm
hd[3],1.874µm
ps_flat\[1\],1.873µm
xp5_hi_l2\[0\].u_xp5/_01_,1.866µm
xp5_hi_l2\[0\].u_xp5/_15_,1.866µm
lo_flat\[15\],1.861µm
ps_flat\[15\],1.858µm
ll1_flat\[10\],1.848µm
xp7_lo_l2\[1\].u_xp7/_027_,1.845µm
xp7_lo_l2\[1\].u_xp7/_030_,1.827µm
xp5_hi_l2\[1\].u_xp5/_15_,1.803µm
xp5_s2l2\[4\].u_xp5/_15_,1.796µm
hl1_flat\[1\],1.792µm
r4_split\[1\].boh\[7\],1.788µm
xp5_s2l2\[1\].u_xp5/_01_,1.785µm
xp7_lo_l2\[1\].u_xp7/_001_,1.785µm
lo_flat\[31\],1.781µm
u_xp9_hi_l3/_042_,1.779µm
lo_flat\[1\],1.777µm
ps_flat\[17\],1.773µm
ps_flat\[5\],1.765µm
ps_flat\[23\],1.757µm
ps_flat\[53\],1.756µm
ps_flat\[18\],1.75µm
xp7_lo_l2\[1\].u_xp7/_009_,1.74µm
ps_flat\[41\],1.722µm
lo_flat\[25\],1.708µm
xp7_lo_l2\[1\].u_xp7/_008_,1.701µm
_059_,1.697µm
ps_flat\[31\],1.688µm
r4_split\[1\].boh\[6\],1.686µm
xp5_s2l2\[6\].u_xp5/_15_,1.684µm
xp5_s2l2\[6\].u_xp5/_00_,1.682µm
ps_flat\[11\],1.675µm
xp5_s2l2\[5\].u_xp5/_15_,1.673µm
xp7_lo_l2\[0\].u_xp7/_004_,1.663µm
lo_flat\[30\],1.658µm
lo_flat\[3\],1.652µm
hi_flat\[20\],1.647µm
ps_flat\[43\],1.647µm
xp5_s2l2\[5\].u_xp5/_07_,1.645µm
u_xp17x7_carry/_023_,1.638µm
xp5_s2l2\[5\].u_xp5/_01_,1.638µm
ps_flat\[13\],1.634µm
u_xp17x7_carry/_076_,1.631µm
xp5_s2l2\[1\].u_xp5/_04_,1.624µm
xp4_lo_l1\[2\].u_xp4/_01_,1.617µm
lo_flat\[0\],1.604µm
lo_flat\[9\],1.603µm
hi_flat\[6\],1.599µm
xp5_s2l2\[0\].u_xp5/_15_,1.597µm
xp7_lo_l2\[1\].u_xp7/_005_,1.59µm
u_xp17x7_carry/_139_,1.579µm
r4_split\[1\].boh\[4\],1.575µm
u_xp17x7_carry/_102_,1.575µm
u_xp9_hi_l3/_054_,1.575µm
r4_split\[5\].boh\[6\],1.568µm
low_sum\[21\],1.561µm
ps_flat\[35\],1.561µm
u_xp17x7_carry/_058_,1.561µm
xp5_s2l2\[3\].u_xp5/_15_,1.551µm
hl1_flat\[15\],1.549µm
hl1_flat\[3\],1.537µm
ps_flat\[65\],1.537µm
xp4_lo_l1\[3\].u_xp4/_11_,1.532µm
xp5_s2l2\[4\].u_xp5/_03_,1.532µm
ps_flat\[3\],1.508µm
ps_flat\[55\],1.505µm
u_xp17x7_carry/_114_,1.505µm
xp4_lo_l1\[0\].u_xp4/_01_,1.505µm
u_xp17x7_carry/_004_,1.491µm
xp5_s2l2\[2\].u_xp5/_15_,1.491µm
xp5_s2l2\[7\].u_xp5/_00_,1.491µm
xp5_s2l2\[2\].u_xp5/_04_,1.485µm
cell_oh_flat\[71\],1.481µm
xp7_lo_l2\[0\].u_xp7/_009_,1.48µm
xp5_s2l2\[5\].u_xp5/_04_,1.467µm
u_xp17x7_carry/_090_,1.463µm
r4_split\[6\].boh\[7\],1.462µm
u_xp17x7_carry/_105_,1.449µm
xp3_s2l1\[15\].u_xp3/_04_,1.444µm
_031_,1.44µm
