net,length_um
cell_oh_flat\[51\],0.728µm
ps_flat\[37\],0.728µm
upper\[15\],0.728µm
u_xp17x7_carry/_081_,0.728µm
u_xp17x7_carry/_029_,0.727µm
ps_flat\[0\],0.724µm
cell_oh_flat\[24\],0.723µm
_110_,0.721µm
cell_oh_flat\[94\],0.721µm
r4_split\[6\].boh\[5\],0.721µm
u_xp13_lo_l3/_194_,0.721µm
xp3_hi_l1\[0\].u_xp3/_03_,0.721µm
xp3_hi_l1\[3\].u_xp3/_00_,0.721µm
xp5_hi_l2\[0\].u_xp5/_04_,0.721µm
xp5_s2l2\[6\].u_xp5/_19_,0.721µm
xp7_lo_l2\[0\].u_xp7/_055_,0.721µm
r4_split\[7\].boh\[1\],0.719µm
_094_,0.718µm
xp3_s2l1\[11\].u_xp3/_03_,0.718µm
u_xp13_lo_l3/_033_,0.714µm
xp5_s2l2\[5\].u_xp5/_25_,0.713µm
cell_oh_flat\[84\],0.709µm
r4_split\[2\].boh\[0\],0.709µm
cell_oh_flat\[18\],0.708µm
_224_,0.707µm
r4_split\[2\].boh\[4\],0.707µm
u_xp17x7_carry/_041_,0.707µm
xp3_s2l1\[10\].u_xp3/_01_,0.707µm
xp5_s2l2\[0\].u_xp5/_14_,0.707µm
xp5_hi_l2\[0\].u_xp5/_17_,0.705µm
xp3_s2l1\[13\].u_xp3/_01_,0.703µm
u_xp17x7_carry/_017_,0.702µm
xp3_s2l1\[4\].u_xp3/_00_,0.702µm
upper\[16\],0.7µm
cell_oh_flat\[19\],0.696µm
_200_,0.693µm
xp3_s2l1\[9\].u_xp3/_08_,0.693µm
xp5_s2l2\[5\].u_xp5/_24_,0.693µm
B[20],0.687µm
xp3_s2l1\[1\].u_xp3/_04_,0.687µm
ps_flat\[29\],0.686µm
u_xp13_lo_l3/_021_,0.686µm
_098_,0.68µm
hi_flat\[15\],0.68µm
r4_split\[6\].boh\[1\],0.68µm
xp3_hi_l1\[0\].u_xp3/_04_,0.679µm
xp3_s2l1\[6\].u_xp3/_01_,0.679µm
_144_,0.678µm
xp5_s2l2\[5\].u_xp5/_03_,0.678µm
cell_oh_flat\[4\],0.672µm
ps_flat\[30\],0.671µm
_176_,0.669µm
xp5_s2l2\[5\].u_xp5/_11_,0.668µm
u_xp9_hi_l3/_023_,0.667µm
xp3_hi_l1\[2\].u_xp3/_02_,0.667µm
_158_,0.665µm
xp3_hi_l1\[1\].u_xp3/_05_,0.665µm
xp3_s2l1\[4\].u_xp3/_04_,0.665µm
xp3_s2l1\[6\].u_xp3/_04_,0.665µm
xp4_lo_l1\[2\].u_xp4/_11_,0.665µm
xp5_s2l2\[5\].u_xp5/sum_bit\[0\].grid_and,0.665µm
_210_,0.663µm
_138_,0.661µm
xp3_s2l1\[11\].u_xp3/_01_,0.661µm
_148_,0.659µm
hi_flat\[7\],0.658µm
lo_flat\[5\],0.658µm
xp7_lo_l2\[0\].u_xp7/_037_,0.655µm
lo_flat\[26\],0.654µm
u_xp17x7_carry/_113_,0.654µm
upper\[22\],0.653µm
xp3_s2l1\[6\].u_xp3/_05_,0.653µm
cell_oh_flat\[58\],0.651µm
u_xp17x7_carry/_049_,0.651µm
xp3_s2l1\[7\].u_xp3/_05_,0.651µm
xp5_s2l2\[2\].u_xp5/_18_,0.646µm
_058_,0.644µm
cell_oh_flat\[79\],0.644µm
u_xp13_lo_l3/_203_,0.644µm
xp5_hi_l2\[1\].u_xp5/_13_,0.644µm
cell_oh_flat\[33\],0.637µm
r4_split\[1\].boh\[1\],0.637µm
u_xp17x7_carry/_086_,0.637µm
xp3_s2l1\[2\].u_xp3/_03_,0.637µm
cell_oh_flat\[70\],0.634µm
u_xp17x7_carry/_032_,0.634µm
B[27],0.631µm
xp5_s2l2\[6\].u_xp5/_13_,0.63µm
lo_flat\[4\],0.627µm
xp3_s2l1\[3\].u_xp3/_01_,0.627µm
xp3_s2l1\[0\].u_xp3/_09_,0.626µm
xp3_s2l1\[10\].u_xp3/_08_,0.624µm
xp4_lo_l1\[3\].u_xp4/_17_,0.624µm
u_xp17x7_carry/_084_,0.623µm
xp3_s2l1\[2\].u_xp3/_01_,0.623µm
xp5_s2l2\[7\].u_xp5/_21_,0.623µm
cell_oh_flat\[67\],0.622µm
xp3_hi_l1\[3\].u_xp3/_03_,0.622µm
_139_,0.62µm
_145_,0.62µm
_276_,0.618µm
xp5_s2l2\[1\].u_xp5/_07_,0.618µm
ps_flat\[69\],0.616µm
r4_split\[7\].boh\[7\],0.616µm
xp5_s2l2\[1\].u_xp5/_13_,0.616µm
xp5_s2l2\[0\].u_xp5/_21_,0.613µm
xp4_lo_l1\[0\].u_xp4/_15_,0.612µm
_064_,0.611µm
xp5_s2l2\[0\].u_xp5/sum_bit\[0\].grid_and,0.611µm
xp7_lo_l2\[1\].u_xp7/_012_,0.611µm
upper\[3\],0.61µm
cell_oh_flat\[37\],0.609µm
cell_oh_flat\[46\],0.609µm
lo_flat\[18\],0.609µm
ps_flat\[10\],0.609µm
u_xp9_hi_l3/_036_,0.609µm
xp3_hi_l1\[1\].u_xp3/_09_,0.609µm
xp4_lo_l1\[2\].u_xp4/_14_,0.609µm
upper\[6\],0.608µm
A[2],0.603µm
A[31],0.603µm
B[2],0.603µm
B[31],0.603µm
B[8],0.603µm
_118_,0.602µm
xp3_s2l1\[9\].u_xp3/_04_,0.602µm
xp4_lo_l1\[2\].u_xp4/_02_,0.602µm
xp5_s2l2\[4\].u_xp5/_14_,0.602µm
ps_flat\[9\],0.601µm
r4_split\[0\].boh\[1\],0.6µm
xp5_s2l2\[2\].u_xp5/_08_,0.6µm
u_xp17x7_carry/_083_,0.599µm
xp3_hi_l1\[0\].u_xp3/_08_,0.597µm
xp5_s2l2\[0\].u_xp5/_19_,0.597µm
u_xp13_lo_l3/_136_,0.596µm
xp5_s2l2\[3\].u_xp5/_22_,0.596µm
_030_,0.595µm
low_sum\[1\],0.595µm
u_xp13_lo_l3/_179_,0.595µm
u_xp17x7_carry/_022_,0.595µm
xp7_lo_l2\[1\].u_xp7/_017_,0.595µm
_106_,0.594µm
xp3_s2l1\[10\].u_xp3/_05_,0.594µm
_175_,0.59µm
u_xp17x7_carry/_073_,0.588µm
xp7_lo_l2\[1\].u_xp7/_045_,0.588µm
xp3_s2l1\[2\].u_xp3/_00_,0.587µm
r4_split\[5\].boh\[5\],0.584µm
_117_,0.581µm
_174_,0.581µm
upper\[12\],0.581µm
xp3_hi_l1\[3\].u_xp3/_08_,0.581µm
xp3_s2l1\[0\].u_xp3/_03_,0.581µm
xp5_s2l2\[7\].u_xp5/_11_,0.581µm
u_xp13_lo_l3/_013_,0.578µm
xp3_s2l1\[8\].u_xp3/_01_,0.577µm
A[14],0.575µm
A[19],0.575µm
A[20],0.575µm
B[14],0.575µm
B[19],0.575µm
xp7_lo_l2\[1\].u_xp7/_013_,0.575µm
u_xp17x7_carry/_034_,0.574µm
xp5_s2l2\[7\].u_xp5/_14_,0.573µm
lo_flat\[11\],0.571µm
ps_flat\[79\],0.571µm
u_xp17x7_carry/_024_,0.571µm
upper\[11\],0.57µm
u_xp13_lo_l3/_068_,0.57µm
xp4_lo_l1\[0\].u_xp4/_10_,0.57µm
cell_oh_flat\[9\],0.569µm
u_xp13_lo_l3/sum_bit\[0\].grid_and,0.569µm
xp3_s2l1\[4\].u_xp3/_08_,0.569µm
xp5_s2l2\[1\].u_xp5/_14_,0.569µm
_124_,0.568µm
xp3_s2l1\[3\].u_xp3/_04_,0.568µm
_034_,0.567µm
_114_,0.567µm
_183_,0.567µm
u_xp13_lo_l3/_197_,0.567µm
xp3_s2l1\[9\].u_xp3/_05_,0.567µm
xp3_s2l1\[7\].u_xp3/_03_,0.564µm
hi_flat\[13\],0.56µm
xp3_s2l1\[7\].u_xp3/_00_,0.56µm
xp5_s2l2\[2\].u_xp5/_20_,0.56µm
cell_oh_flat\[21\],0.557µm
xp5_s2l2\[3\].u_xp5/_13_,0.557µm
xp3_hi_l1\[0\].u_xp3/_02_,0.556µm
xp3_s2l1\[14\].u_xp3/_00_,0.556µm
u_xp9_hi_l3/_006_,0.555µm
cell_oh_flat\[82\],0.554µm
xp3_s2l1\[11\].u_xp3/_05_,0.554µm
xp4_lo_l1\[3\].u_xp4/_13_,0.554µm
xp5_s2l2\[4\].u_xp5/_21_,0.554µm
_128_,0.553µm
xp3_hi_l1\[3\].u_xp3/_01_,0.553µm
xp5_hi_l2\[0\].u_xp5/_13_,0.553µm
xp5_s2l2\[4\].u_xp5/_09_,0.553µm
_256_,0.552µm
xp5_s2l2\[6\].u_xp5/_07_,0.55µm
xp3_hi_l1\[1\].u_xp3/_03_,0.549µm
A[8],0.547µm
u_xp13_lo_l3/_105_,0.545µm
u_xp9_hi_l3/_048_,0.545µm
_100_,0.54µm
_078_,0.539µm
_167_,0.539µm
cell_oh_flat\[28\],0.539µm
xp3_hi_l1\[2\].u_xp3/_01_,0.539µm
xp3_s2l1\[4\].u_xp3/_07_,0.539µm
xp3_s2l1\[5\].u_xp3/_08_,0.539µm
xp7_lo_l2\[1\].u_xp7/_037_,0.539µm
_015_,0.538µm
low_sum\[22\],0.538µm
u_xp13_lo_l3/_089_,0.538µm
cell_oh_flat\[88\],0.534µm
xp3_hi_l1\[1\].u_xp3/_01_,0.534µm
_146_,0.532µm
_160_,0.532µm
cell_oh_flat\[8\],0.532µm
xp3_hi_l1\[3\].u_xp3/_09_,0.532µm
xp7_lo_l2\[1\].u_xp7/_023_,0.53µm
cell_oh_flat\[61\],0.529µm
u_xp17x7_carry/_046_,0.529µm
cell_oh_flat\[10\],0.527µm
_122_,0.526µm
_092_,0.525µm
_130_,0.525µm
_193_,0.525µm
hi_flat\[3\],0.525µm
r4_split\[6\].boh\[4\],0.525µm
xp3_hi_l1\[1\].u_xp3/_06_,0.525µm
xp3_s2l1\[13\].u_xp3/_03_,0.525µm
xp3_s2l1\[3\].u_xp3/_08_,0.525µm
xp3_s2l1\[9\].u_xp3/sum_bit\[0\].grid_and,0.525µm
xp5_s2l2\[1\].u_xp5/_17_,0.525µm
xp5_s2l2\[1\].u_xp5/sum_bit\[0\].grid_and,0.525µm
xp5_s2l2\[2\].u_xp5/_02_,0.525µm
xp7_lo_l2\[1\].u_xp7/_003_,0.525µm
xp3_s2l1\[0\].u_xp3/_01_,0.524µm
xp3_s2l1\[5\].u_xp3/_03_,0.522µm
xp3_s2l1\[5\].u_xp3/_00_,0.52µm
A[27],0.519µm
xp5_s2l2\[2\].u_xp5/_12_,0.519µm
ps_flat\[46\],0.518µm
upper\[10\],0.518µm
xp3_s2l1\[5\].u_xp3/_01_,0.518µm
_157_,0.516µm
r4_split\[2\].boh\[3\],0.515µm
xp3_s2l1\[13\].u_xp3/_09_,0.515µm
u_xp13_lo_l3/_170_,0.514µm
xp7_lo_l2\[0\].u_xp7/_036_,0.513µm
_211_,0.512µm
u_xp17x7_carry/_028_,0.512µm
_290_,0.511µm
_292_,0.511µm
ps_flat\[60\],0.511µm
r4_split\[2\].boh\[1\],0.511µm
u_xp9_hi_l3/_008_,0.511µm
xp3_hi_l1\[0\].u_xp3/_05_,0.511µm
xp3_s2l1\[11\].u_xp3/_07_,0.511µm
xp4_lo_l1\[0\].u_xp4/_08_,0.511µm
xp5_s2l2\[4\].u_xp5/_10_,0.511µm
xp5_s2l2\[5\].u_xp5/_08_,0.511µm
xp7_lo_l2\[1\].u_xp7/_042_,0.511µm
_132_,0.507µm
u_xp13_lo_l3/_107_,0.504µm
xp3_s2l1\[12\].u_xp3/_02_,0.504µm
_147_,0.502µm
_252_,0.502µm
u_xp13_lo_l3/_096_,0.501µm
u_xp9_hi_l3/_017_,0.501µm
xp7_lo_l2\[0\].u_xp7/_048_,0.501µm
r4_split\[1\].boh\[3\],0.5µm
u_xp17x7_carry/_117_,0.499µm
u_xp13_lo_l3/_007_,0.497µm
u_xp13_lo_l3/_130_,0.497µm
xp3_hi_l1\[2\].u_xp3/_09_,0.497µm
xp3_s2l1\[10\].u_xp3/_07_,0.497µm
xp4_lo_l1\[0\].u_xp4/_16_,0.497µm
xp5_s2l2\[0\].u_xp5/_02_,0.497µm
xp5_s2l2\[4\].u_xp5/_16_,0.497µm
xp5_s2l2\[6\].u_xp5/_12_,0.497µm
xp7_lo_l2\[0\].u_xp7/_034_,0.497µm
u_xp13_lo_l3/_125_,0.496µm
xp3_s2l1\[11\].u_xp3/_08_,0.496µm
xp3_s2l1\[12\].u_xp3/_08_,0.493µm
cell_oh_flat\[77\],0.492µm
u_xp17x7_carry/_126_,0.492µm
B[9],0.491µm
ps_flat\[76\],0.489µm
_251_,0.487µm
_170_,0.486µm
u_xp13_lo_l3/_120_,0.486µm
u_xp17x7_carry/_064_,0.486µm
xp5_s2l2\[0\].u_xp5/_07_,0.486µm
xp5_s2l2\[5\].u_xp5/_14_,0.486µm
lo_flat\[29\],0.485µm
_069_,0.483µm
_123_,0.483µm
xp3_s2l1\[6\].u_xp3/_08_,0.483µm
xp4_lo_l1\[2\].u_xp4/_00_,0.483µm
xp5_s2l2\[5\].u_xp5/_06_,0.483µm
cell_oh_flat\[38\],0.482µm
xp3_s2l1\[13\].u_xp3/_00_,0.482µm
xp3_s2l1\[15\].u_xp3/sum_bit\[0\].grid_and,0.48µm
_168_,0.476µm
cell_oh_flat\[26\],0.476µm
r4_split\[0\].boh\[0\],0.476µm
u_xp17x7_carry/_043_,0.476µm
xp3_s2l1\[8\].u_xp3/_02_,0.476µm
xp5_s2l2\[3\].u_xp5/_06_,0.476µm
xp5_s2l2\[5\].u_xp5/_05_,0.476µm
xp5_s2l2\[7\].u_xp5/_09_,0.476µm
u_xp13_lo_l3/_011_,0.473µm
xp7_lo_l2\[1\].u_xp7/_050_,0.472µm
xp3_s2l1\[11\].u_xp3/_09_,0.471µm
xp3_s2l1\[13\].u_xp3/_06_,0.471µm
xp7_lo_l2\[1\].u_xp7/_032_,0.47µm
_089_,0.469µm
_165_,0.469µm
cell_oh_flat\[22\],0.469µm
u_xp17x7_carry/_019_,0.469µm
u_xp17x7_carry/_066_,0.469µm
u_xp9_hi_l3/_083_,0.469µm
xp3_hi_l1\[0\].u_xp3/_00_,0.469µm
xp3_hi_l1\[2\].u_xp3/_00_,0.469µm
xp3_s2l1\[1\].u_xp3/_06_,0.469µm
xp4_lo_l1\[2\].u_xp4/_03_,0.469µm
xp5_hi_l2\[0\].u_xp5/_16_,0.469µm
xp7_lo_l2\[1\].u_xp7/_024_,0.467µm
_086_,0.466µm
_149_,0.466µm
ps_flat\[20\],0.466µm
xp3_s2l1\[15\].u_xp3/_08_,0.466µm
_041_,0.465µm
lo_flat\[28\],0.465µm
B[12],0.463µm
B[15],0.463µm
B[16],0.463µm
B[18],0.463µm
B[26],0.463µm
B[4],0.463µm
cell_oh_flat\[95\],0.462µm
r4_split\[7\].boh\[0\],0.462µm
u_xp13_lo_l3/_051_,0.462µm
u_xp13_lo_l3/_205_,0.462µm
xp5_s2l2\[1\].u_xp5/_16_,0.462µm
xp5_s2l2\[7\].u_xp5/_24_,0.462µm
xp5_s2l2\[4\].u_xp5/sum_bit\[0\].grid_and,0.461µm
u_xp13_lo_l3/_143_,0.459µm
u_xp17x7_carry/_122_,0.459µm
xp3_s2l1\[10\].u_xp3/_00_,0.459µm
xp3_s2l1\[6\].u_xp3/_02_,0.458µm
u_xp13_lo_l3/_043_,0.457µm
xp3_s2l1\[12\].u_xp3/sum_bit\[0\].grid_and,0.457µm
_090_,0.455µm
r4_split\[5\].boh\[0\],0.455µm
xp3_hi_l1\[2\].u_xp3/_07_,0.455µm
xp3_s2l1\[15\].u_xp3/_00_,0.455µm
xp4_lo_l1\[3\].u_xp4/_16_,0.455µm
_119_,0.454µm
_096_,0.452µm
_143_,0.452µm
_271_,0.452µm
xp3_s2l1\[12\].u_xp3/_00_,0.452µm
xp4_lo_l1\[3\].u_xp4/_00_,0.451µm
xp5_hi_l2\[1\].u_xp5/_03_,0.45µm
_196_,0.449µm
_007_,0.448µm
_028_,0.448µm
cell_oh_flat\[91\],0.448µm
u_xp13_lo_l3/_131_,0.448µm
xp5_s2l2\[4\].u_xp5/_02_,0.448µm
xp5_s2l2\[4\].u_xp5/_24_,0.448µm
_151_,0.446µm
_273_,0.445µm
xp3_s2l1\[3\].u_xp3/_09_,0.445µm
xp5_s2l2\[2\].u_xp5/_21_,0.445µm
xp7_lo_l2\[1\].u_xp7/_002_,0.445µm
_173_,0.444µm
_202_,0.444µm
_071_,0.443µm
u_xp13_lo_l3/_137_,0.443µm
u_xp17x7_carry/_100_,0.443µm
_263_,0.442µm
_285_,0.441µm
u_xp17x7_carry/_098_,0.441µm
u_xp9_hi_l3/_053_,0.441µm
xp4_lo_l1\[0\].u_xp4/sum_bit\[0\].grid_and,0.441µm
xp4_lo_l1\[1\].u_xp4/_03_,0.441µm
xp4_lo_l1\[1\].u_xp4/_10_,0.441µm
xp5_s2l2\[2\].u_xp5/_24_,0.441µm
xp5_s2l2\[6\].u_xp5/_02_,0.441µm
xp5_s2l2\[3\].u_xp5/_14_,0.437µm
B[17],0.435µm
B[3],0.435µm
B[5],0.435µm
B[6],0.435µm
u_xp17x7_carry/_145_,0.434µm
xp5_s2l2\[3\].u_xp5/_11_,0.434µm
xp5_s2l2\[6\].u_xp5/_24_,0.433µm
u_xp13_lo_l3/_088_,0.431µm
u_xp13_lo_l3/_186_,0.431µm
xp7_lo_l2\[0\].u_xp7/_042_,0.43µm
_108_,0.427µm
_191_,0.427µm
u_xp13_lo_l3/_145_,0.427µm
xp3_hi_l1\[0\].u_xp3/_01_,0.427µm
xp4_lo_l1\[1\].u_xp4/_16_,0.425µm
_091_,0.424µm
r4_split\[4\].boh\[0\],0.424µm
_284_,0.423µm
_116_,0.42µm
u_xp13_lo_l3/_010_,0.42µm
u_xp13_lo_l3/_074_,0.42µm
u_xp9_hi_l3/_061_,0.42µm
xp3_hi_l1\[0\].u_xp3/_07_,0.42µm
xp5_s2l2\[5\].u_xp5/_09_,0.42µm
xp5_s2l2\[6\].u_xp5/_21_,0.42µm
xp5_s2l2\[7\].u_xp5/_17_,0.42µm
cell_oh_flat\[49\],0.419µm
xp4_lo_l1\[0\].u_xp4/_02_,0.419µm
xp4_lo_l1\[3\].u_xp4/_14_,0.419µm
_166_,0.416µm
u_xp13_lo_l3/_157_,0.416µm
xp5_s2l2\[5\].u_xp5/_23_,0.416µm
xp7_lo_l2\[0\].u_xp7/_056_,0.416µm
_014_,0.413µm
_180_,0.413µm
_255_,0.413µm
cell_oh_flat\[85\],0.413µm
u_xp17x7_carry/_045_,0.413µm
u_xp9_hi_l3/_070_,0.413µm
xp3_s2l1\[3\].u_xp3/_00_,0.413µm
xp5_s2l2\[7\].u_xp5/_25_,0.413µm
xp7_lo_l2\[0\].u_xp7/_054_,0.412µm
B[48],0.411µm
u_xp9_hi_l3/_024_,0.411µm
u_xp17x7_carry/_068_,0.409µm
xp5_s2l2\[3\].u_xp5/_24_,0.409µm
_242_,0.408µm
B[10],0.407µm
B[24],0.407µm
B[28],0.407µm
B[7],0.407µm
_294_,0.407µm
xp3_s2l1\[12\].u_xp3/_01_,0.406µm
xp5_hi_l2\[0\].u_xp5/_25_,0.406µm
xp5_hi_l2\[1\].u_xp5/_11_,0.406µm
xp5_s2l2\[6\].u_xp5/sum_bit\[0\].grid_and,0.406µm
xp7_lo_l2\[0\].u_xp7/_053_,0.406µm
xp7_lo_l2\[1\].u_xp7/_010_,0.406µm
lo_flat\[12\],0.405µm
u_xp13_lo_l3/_106_,0.405µm
u_xp13_lo_l3/_116_,0.405µm
u_xp17x7_carry/_087_,0.405µm
xp7_lo_l2\[1\].u_xp7/_006_,0.405µm
_010_,0.404µm
_104_,0.403µm
u_xp13_lo_l3/_165_,0.403µm
u_xp13_lo_l3/_059_,0.402µm
xp3_s2l1\[14\].u_xp3/_06_,0.402µm
cell_oh_flat\[52\],0.401µm
u_xp17x7_carry/_031_,0.401µm
u_xp17x7_carry/_104_,0.401µm
r4_split\[7\].boh\[3\],0.4µm
_046_,0.399µm
_164_,0.399µm
_190_,0.399µm
_221_,0.399µm
_261_,0.399µm
_267_,0.399µm
ps_flat\[39\],0.399µm
u_xp13_lo_l3/_047_,0.399µm
u_xp13_lo_l3/_065_,0.399µm
u_xp13_lo_l3/_141_,0.399µm
u_xp17x7_carry/_011_,0.399µm
u_xp17x7_carry/_060_,0.399µm
u_xp17x7_carry/_123_,0.399µm
xp3_s2l1\[14\].u_xp3/_08_,0.399µm
xp4_lo_l1\[1\].u_xp4/_06_,0.399µm
xp4_lo_l1\[3\].u_xp4/_08_,0.399µm
xp7_lo_l2\[1\].u_xp7/_035_,0.399µm
ps_flat\[50\],0.397µm
_195_,0.396µm
xp3_s2l1\[14\].u_xp3/_05_,0.396µm
_137_,0.394µm
_220_,0.394µm
xp3_hi_l1\[1\].u_xp3/_08_,0.394µm
u_xp9_hi_l3/_002_,0.392µm
u_xp9_hi_l3/_051_,0.392µm
xp3_s2l1\[11\].u_xp3/sum_bit\[0\].grid_and,0.392µm
xp3_s2l1\[6\].u_xp3/sum_bit\[0\].grid_and,0.392µm
xp4_lo_l1\[1\].u_xp4/_12_,0.392µm
xp5_hi_l2\[1\].u_xp5/_04_,0.392µm
xp5_hi_l2\[1\].u_xp5/_05_,0.392µm
u_xp17x7_carry/_056_,0.391µm
cell_oh_flat\[25\],0.389µm
xp5_s2l2\[1\].u_xp5/_02_,0.389µm
xp7_lo_l2\[0\].u_xp7/_035_,0.389µm
u_xp17x7_carry/_027_,0.387µm
xp3_s2l1\[1\].u_xp3/sum_bit\[0\].grid_and,0.387µm
xp3_s2l1\[7\].u_xp3/_04_,0.387µm
xp5_hi_l2\[0\].u_xp5/_19_,0.387µm
_021_,0.385µm
_154_,0.385µm
_169_,0.385µm
_181_,0.385µm
ps_flat\[70\],0.385µm
r4_split\[7\].boh\[5\],0.385µm
u_xp13_lo_l3/_080_,0.385µm
u_xp13_lo_l3/_113_,0.385µm
u_xp13_lo_l3/_132_,0.385µm
u_xp13_lo_l3/_171_,0.385µm
u_xp13_lo_l3/_211_,0.385µm
xp3_hi_l1\[3\].u_xp3/_04_,0.385µm
xp5_hi_l2\[0\].u_xp5/_11_,0.385µm
xp5_s2l2\[0\].u_xp5/_06_,0.385µm
xp5_s2l2\[1\].u_xp5/_20_,0.385µm
xp5_s2l2\[4\].u_xp5/_22_,0.385µm
_269_,0.384µm
B[50],0.383µm
xp3_s2l1\[0\].u_xp3/_08_,0.382µm
xp3_s2l1\[1\].u_xp3/_03_,0.382µm
_188_,0.38µm
_197_,0.38µm
xp4_lo_l1\[0\].u_xp4/_00_,0.38µm
A[13],0.379µm
A[23],0.379µm
A[30],0.379µm
A[9],0.379µm
B[11],0.379µm
B[13],0.379µm
B[23],0.379µm
B[25],0.379µm
B[29],0.379µm
B[30],0.379µm
_186_,0.379µm
_112_,0.378µm
u_xp13_lo_l3/_118_,0.378µm
xp3_s2l1\[6\].u_xp3/_09_,0.378µm
xp3_s2l1\[7\].u_xp3/_01_,0.378µm
xp5_s2l2\[0\].u_xp5/_10_,0.378µm
xp5_s2l2\[5\].u_xp5/_02_,0.378µm
_013_,0.375µm
_203_,0.375µm
u_xp13_lo_l3/_154_,0.375µm
xp7_lo_l2\[1\].u_xp7/_036_,0.375µm
u_xp9_hi_l3/_079_,0.374µm
xp5_s2l2\[0\].u_xp5/_09_,0.374µm
_250_,0.373µm
u_xp9_hi_l3/_007_,0.373µm
u_xp17x7_carry/_075_,0.372µm
_212_,0.371µm
_253_,0.371µm
_258_,0.371µm
u_xp13_lo_l3/_183_,0.371µm
u_xp17x7_carry/_007_,0.371µm
u_xp17x7_carry/_089_,0.371µm
u_xp9_hi_l3/_005_,0.371µm
xp3_s2l1\[11\].u_xp3/_02_,0.371µm
xp4_lo_l1\[1\].u_xp4/_08_,0.371µm
xp5_hi_l2\[0\].u_xp5/_06_,0.371µm
xp5_s2l2\[1\].u_xp5/_21_,0.371µm
xp5_s2l2\[6\].u_xp5/_17_,0.371µm
r4_split\[3\].boh\[0\],0.368µm
lo_flat\[19\],0.364µm
u_xp17x7_carry/_093_,0.364µm
xp4_lo_l1\[3\].u_xp4/_03_,0.364µm
xp5_s2l2\[0\].u_xp5/_22_,0.364µm
_291_,0.363µm
u_xp17x7_carry/_054_,0.363µm
u_xp17x7_carry/_097_,0.363µm
xp5_s2l2\[1\].u_xp5/_12_,0.361µm
_011_,0.359µm
u_xp13_lo_l3/_109_,0.359µm
u_xp17x7_carry/_044_,0.359µm
xp3_s2l1\[12\].u_xp3/_04_,0.359µm
_162_,0.358µm
_235_,0.358µm
xp7_lo_l2\[1\].u_xp7/_018_,0.358µm
_050_,0.357µm
_115_,0.357µm
_182_,0.357µm
_257_,0.357µm
_282_,0.357µm
ps_flat\[26\],0.357µm
ps_flat\[40\],0.357µm
u_xp13_lo_l3/_012_,0.357µm
xp3_hi_l1\[1\].u_xp3/_00_,0.357µm
xp3_s2l1\[0\].u_xp3/_02_,0.357µm
xp3_s2l1\[7\].u_xp3/_08_,0.357µm
xp4_lo_l1\[1\].u_xp4/_13_,0.357µm
xp3_s2l1\[12\].u_xp3/_06_,0.356µm
A[49],0.355µm
B[51],0.355µm
A[12],0.351µm
A[15],0.351µm
A[16],0.351µm
A[18],0.351µm
A[21],0.351µm
A[22],0.351µm
A[26],0.351µm
A[4],0.351µm
B[21],0.351µm
B[22],0.351µm
xp3_s2l1\[14\].u_xp3/_01_,0.351µm
u_xp13_lo_l3/_018_,0.35µm
xp3_s2l1\[15\].u_xp3/_09_,0.35µm
xp3_s2l1\[5\].u_xp3/_09_,0.349µm
xp4_lo_l1\[2\].u_xp4/_09_,0.349µm
u_xp13_lo_l3/_045_,0.348µm
xp3_hi_l1\[0\].u_xp3/_06_,0.346µm
xp5_s2l2\[7\].u_xp5/_19_,0.346µm
_134_,0.344µm
u_xp17x7_carry/_140_,0.344µm
xp3_s2l1\[1\].u_xp3/_00_,0.344µm
_088_,0.343µm
_159_,0.343µm
_274_,0.343µm
u_xp13_lo_l3/_061_,0.343µm
u_xp13_lo_l3/_094_,0.343µm
u_xp17x7_carry/_112_,0.343µm
xp3_s2l1\[10\].u_xp3/_09_,0.343µm
xp3_s2l1\[12\].u_xp3/_09_,0.343µm
xp3_s2l1\[2\].u_xp3/_08_,0.343µm
xp3_s2l1\[3\].u_xp3/_06_,0.343µm
xp3_s2l1\[8\].u_xp3/_06_,0.343µm
xp3_s2l1\[8\].u_xp3/_08_,0.343µm
xp4_lo_l1\[2\].u_xp4/_08_,0.343µm
_080_,0.338µm
_268_,0.338µm
u_xp17x7_carry/_138_,0.337µm
_054_,0.336µm
u_xp13_lo_l3/_032_,0.336µm
u_xp13_lo_l3/_178_,0.336µm
xp3_s2l1\[15\].u_xp3/_07_,0.336µm
xp5_hi_l2\[1\].u_xp5/_06_,0.336µm
xp5_hi_l2\[1\].u_xp5/sum_bit\[0\].grid_and,0.336µm
u_xp13_lo_l3/_062_,0.335µm
xp5_s2l2\[6\].u_xp5/_11_,0.334µm
xp4_lo_l1\[1\].u_xp4/_07_,0.333µm
u_xp13_lo_l3/_147_,0.332µm
xp5_hi_l2\[0\].u_xp5/_21_,0.332µm
_272_,0.331µm
u_xp9_hi_l3/_055_,0.331µm
u_xp13_lo_l3/_148_,0.33µm
_004_,0.329µm
low_sum\[18\],0.329µm
u_xp13_lo_l3/_044_,0.329µm
u_xp13_lo_l3/_099_,0.329µm
u_xp13_lo_l3/_111_,0.329µm
u_xp9_hi_l3/_018_,0.329µm
xp3_hi_l1\[2\].u_xp3/_08_,0.329µm
xp3_s2l1\[0\].u_xp3/_00_,0.329µm
xp3_s2l1\[13\].u_xp3/_08_,0.329µm
